variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
recursion_sort_k2_seg_total,1000,1,1741490,233578,5.5117,1.4281,9.6452,,,1240.88
recursion_sort_k2_outer,1000,1,1524010,12459,2.6833,2.1436,20.6815,0.0157,14656,2249.96
recursion_sort_k2,1000,2,3265500,246037,6.3794,3.5504,34.4999,0.0153,14656,2185.06
recursion_sort_k2_seg_node,1000,2,870745,116789,5.5117,1.4987,13.0772,,,1241.02
recursion_sort_k2_seg_total,1000,2,1741490,233578,5.5117,1.4987,13.0772,,,1241.02
recursion_sort_k2_outer,1000,2,1524010,12459,0.8677,2.0517,21.4227,0.0153,14656,2185.06
recursion_sort_k4,1000,1,4804149,246069,5.243,2.6496,46.8122,0.0126,14656,4368.72
recursion_sort_k4_seg_node,1000,1,435933,58289,2.5365,0.6554,5.0923,,,616.56
recursion_sort_k4_seg_total,1000,1,1743732,233156,2.5365,0.6554,5.0923,,,616.56
recursion_sort_k4_outer,1000,1,3060417,12913,2.7065,1.9942,41.7199,0.0126,14656,4368.72
recursion_sort_k4,1000,2,4804149,246069,3.3855,2.6361,47.4267,0.0135,14656,4319.54
recursion_sort_k4_seg_node,1000,2,435933,58289,2.5365,0.7066,6.8843,,,616.65
recursion_sort_k4_seg_total,1000,2,1743732,233156,2.5365,0.7066,6.8843,,,616.65
recursion_sort_k4_outer,1000,2,3060417,12913,0.849,1.9295,40.5424,0.0135,14656,4319.54
recursion_sort_k8,1000,1,7882022,246133,3.7091,2.2849,78.6377,0.0122,14656,8422.87
recursion_sort_k8_seg_node,1000,1,218526,29039,1.2161,0.4102,2.7808,,,315.82
recursion_sort_k8_seg_total,1000,1,1748208,232312,1.2161,0.4102,2.7808,,,315.82
recursion_sort_k8_outer,1000,1,6133814,13821,2.493,1.8747,75.8569,0.0122,14656,8422.87
recursion_sort_k8,1000,2,7882022,246133,2.0956,2.2596,81.6637,0.0121,14656,8292.59
recursion_sort_k8_seg_node,1000,2,218526,29039,1.2161,0.4575,3.6663,,,315.77
recursion_sort_k8_seg_total,1000,2,1748208,232312,1.2161,0.4575,3.6663,,,315.77
recursion_sort_k8_outer,1000,2,6133814,13821,0.8795,1.8021,77.9974,0.0121,14656,8292.59
