variant,n,run,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
hier_c_iso_k2_seg_total,128,3,166916,19798,0.5502,0.2977,1.8463,0.0273,29312,145.57
hier_c_iso_k2_glue,128,3,16977,1853,0.2982,0.2753,0.4743,0.095,14656,50.29
hier_c_iso_k4,128,1,189852,21665,0.7085,0.2748,0.9274,0.1719,73280,85.67
hier_c_iso_k4_seg_node,128,1,42578,4875,0.3909,0.261,0.9274,0.0159,14656,85.67
hier_c_iso_k4_seg_total,128,1,170312,19500,0.3909,0.261,0.9274,0.0562,58624,85.67
hier_c_iso_k4_glue,128,1,19540,2165,0.3176,0.2748,0.5083,0.1157,14656,51.15
hier_c_iso_k4,128,2,189852,21665,0.7085,0.2737,0.9974,0.1633,73280,85.48
hier_c_iso_k4_seg_node,128,2,42578,4875,0.3909,0.2648,0.9974,0.0125,14656,85.48
hier_c_iso_k4_seg_total,128,2,170312,19500,0.3909,0.2648,0.9974,0.0482,58624,85.48
hier_c_iso_k4_glue,128,2,19540,2165,0.3176,0.2737,0.4638,0.1151,14656,51.22
hier_c_iso_k4,128,3,189852,21665,0.7085,0.2776,0.9651,0.1753,73280,85.63
hier_c_iso_k4_seg_node,128,3,42578,4875,0.3909,0.2633,0.9651,0.0134,14656,85.63
hier_c_iso_k4_seg_total,128,3,170312,19500,0.3909,0.2633,0.9651,0.0516,58624,85.63
hier_c_iso_k4_glue,128,3,19540,2165,0.3176,0.2776,0.4983,0.1237,14656,51.22
hier_c_iso_k8,128,1,201770,21693,0.6408,0.2831,0.5435,0.2569,131904,56.39
hier_c_iso_k8_seg_node,128,1,22138,2363,0.2985,0.229,0.5111,0.0192,14656,54.18
hier_c_iso_k8_seg_total,128,1,177104,18904,0.2985,0.229,0.5111,0.1175,117248,54.18
hier_c_iso_k8_glue,128,1,24666,2789,0.3423,0.2831,0.5435,0.1394,14656,56.39
hier_c_iso_k8,128,2,201770,21693,0.6408,0.2806,0.5512,0.2553,131904,56.61
hier_c_iso_k8_seg_node,128,2,22138,2363,0.2985,0.2519,0.5512,0.0185,14656,54.28
hier_c_iso_k8_seg_total,128,2,177104,18904,0.2985,0.2519,0.5512,0.1117,117248,54.28
hier_c_iso_k8_glue,128,2,24666,2789,0.3423,0.2806,0.5491,0.1436,14656,56.61
hier_c_iso_k8,128,3,201770,21693,0.6408,0.2805,0.6053,0.259,131904,56.18
hier_c_iso_k8_seg_node,128,3,22138,2363,0.2985,0.2564,0.5772,0.021,14656,54.25
hier_c_iso_k8_seg_total,128,3,177104,18904,0.2985,0.2564,0.5772,0.1201,117248,54.25
hier_c_iso_k8_glue,128,3,24666,2789,0.3423,0.2805,0.6053,0.1389,14656,56.18
hier_c_iso_k2,256,1,402900,48915,1.5004,0.4153,3.3929,0.1185,43968,288.43
hier_c_iso_k2_seg_node,256,1,186998,22741,1.1056,0.4153,3.3929,0.0135,14656,288.43
hier_c_iso_k2_seg_total,256,1,373996,45482,1.1056,0.4153,3.3929,0.0266,29312,288.43
hier_c_iso_k2_glue,256,1,28904,3433,0.3948,0.3732,0.6081,0.0919,14656,72.33
hier_c_iso_k2,256,2,402900,48915,1.5004,0.419,3.5115,0.1184,43968,288.46
hier_c_iso_k2_seg_node,256,2,186998,22741,1.1056,0.419,3.5115,0.0138,14656,288.46
hier_c_iso_k2_seg_total,256,2,373996,45482,1.1056,0.419,3.5115,0.0266,29312,288.46
hier_c_iso_k2_glue,256,2,28904,3433,0.3948,0.3611,0.602,0.0918,14656,72.37
hier_c_iso_k2,256,3,402900,48915,1.5004,0.4182,3.4642,0.1273,43968,288.41
hier_c_iso_k2_seg_node,256,3,186998,22741,1.1056,0.4182,3.4642,0.0143,14656,288.41
hier_c_iso_k2_seg_total,256,3,373996,45482,1.1056,0.4182,3.4642,0.0281,29312,288.41
hier_c_iso_k2_glue,256,3,28904,3433,0.3948,0.3681,0.6074,0.0992,14656,72.16
hier_c_iso_k4,256,1,408858,48929,1.0853,0.3857,1.8057,0.1777,73280,160.14
hier_c_iso_k4_seg_node,256,1,94262,11285,0.6362,0.3132,1.8057,0.0154,14656,160.14
hier_c_iso_k4_seg_total,256,1,377048,45140,0.6362,0.3132,1.8057,0.0559,58624,160.14
hier_c_iso_k4_glue,256,1,31810,3789,0.4491,0.3857,0.6306,0.1218,14656,74.89
hier_c_iso_k4,256,2,408858,48929,1.0853,0.3798,1.9031,0.1782,73280,160.22
hier_c_iso_k4_seg_node,256,2,94262,11285,0.6362,0.3261,1.9031,0.0217,14656,160.22
hier_c_iso_k4_seg_total,256,2,377048,45140,0.6362,0.3261,1.9031,0.0636,58624,160.22
hier_c_iso_k4_glue,256,2,31810,3789,0.4491,0.3798,0.6409,0.1146,14656,74.84
hier_c_iso_k4,256,3,408858,48929,1.0853,0.3765,1.95,0.1763,73280,160.09
hier_c_iso_k4_seg_node,256,3,94262,11285,0.6362,0.3258,1.95,0.014,14656,160.09
hier_c_iso_k4_seg_total,256,3,377048,45140,0.6362,0.3258,1.95,0.0529,58624,160.09
hier_c_iso_k4_glue,256,3,31810,3789,0.4491,0.3765,0.6326,0.1234,14656,74.69
hier_c_iso_k8,256,1,420774,48957,0.9101,0.3848,0.9876,0.2563,131904,90.02
hier_c_iso_k8_seg_node,256,1,47894,5557,0.4047,0.2729,0.9876,0.0161,14656,90.02
hier_c_iso_k8_seg_total,256,1,383152,44456,0.4047,0.2729,0.9876,0.11,117248,90.02
