exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,96,4,24,14,1,inner_segment,sub_0,32424,3674,0.2646,0.1847,0.4694,,,62.75
2,96,4,24,14,1,inner_segment,sub_1,32424,3674,0.2646,0.1953,0.455,,,62.88
2,96,4,24,14,1,inner_segment,sub_2,32424,3674,0.2646,0.192,0.4551,,,62.83
2,96,4,24,14,1,inner_segment,sub_3,32424,3674,0.2646,0.1901,0.4553,,,63.07
2,96,4,24,14,1,outer_recursive,recursion,3009689,854,0.2022,0.177,38.6617,0.0137,14656,4098.97
2,96,4,24,14,2,inner_segment,sub_0,32424,3674,0.2646,0.2067,0.597,,,63.22
2,96,4,24,14,2,inner_segment,sub_1,32424,3674,0.2646,0.2546,0.6138,,,63.23
2,96,4,24,14,2,inner_segment,sub_2,32424,3674,0.2646,0.2543,0.6142,,,62.96
2,96,4,24,14,2,inner_segment,sub_3,32424,3674,0.2646,0.2544,0.6164,,,63.27
2,96,4,24,14,2,outer_recursive,recursion,3009689,854,0.2388,0.189,40.9157,0.0136,14656,4199.74
2,96,2,48,14,1,inner_segment,sub_0,63132,7490,0.3862,0.208,0.8108,,,106.29
2,96,2,48,14,1,inner_segment,sub_1,63132,7490,0.3862,0.2184,0.8139,,,106.1
2,96,2,48,14,1,outer_recursive,recursion,1473796,524,0.1957,0.1763,21.2321,0.0153,14656,2094.7
2,96,2,48,14,2,inner_segment,sub_0,63132,7490,0.3862,0.2301,1.1127,,,106.48
2,96,2,48,14,2,inner_segment,sub_1,63132,7490,0.3862,0.2812,1.1258,,,104.04
2,96,2,48,14,2,outer_recursive,recursion,1473796,524,0.2377,0.185,21.0559,0.0156,14656,2080.37
2,256,2,128,16,1,inner_segment,sub_0,187273,23004,0.948,0.3322,2.3985,,,287.54
2,256,2,128,16,1,inner_segment,sub_1,187273,23004,0.948,0.3456,2.4288,,,287.69
2,256,2,128,16,1,outer_recursive,recursion,1474459,888,0.2343,0.1877,21.0646,0.0154,14656,2066.8
2,256,2,128,16,2,inner_segment,sub_0,187273,23004,0.948,0.3534,3.3729,,,287.89
2,256,2,128,16,2,inner_segment,sub_1,187273,23004,0.948,0.4212,3.3736,,,287.8
2,256,2,128,16,2,outer_recursive,recursion,1474459,888,0.2375,0.1837,20.9686,0.0158,14656,2055.86
2,256,4,64,16,1,inner_segment,sub_0,94409,11420,0.5406,0.2479,1.2982,,,163.05
2,256,4,64,16,1,inner_segment,sub_1,94409,11420,0.5406,0.2529,1.3132,,,163.05
2,256,4,64,16,1,inner_segment,sub_2,94409,11420,0.5406,0.2578,1.3198,,,163.18
2,256,4,64,16,1,inner_segment,sub_3,94409,11420,0.5406,0.2595,1.7035,,,162.78
2,256,4,64,16,1,outer_recursive,recursion,3010695,1262,0.2855,0.1931,40.8894,0.0137,14656,4132.7
2,256,4,64,16,2,inner_segment,sub_0,94409,11420,0.5406,0.2586,1.8125,,,163.02
2,256,4,64,16,2,inner_segment,sub_1,94409,11420,0.5406,0.3291,1.831,,,162.88
2,256,4,64,16,2,inner_segment,sub_2,94409,11420,0.5406,0.3248,1.8222,,,163.03
2,256,4,64,16,2,inner_segment,sub_3,94409,11420,0.5406,0.3271,1.8185,,,163.09
2,256,4,64,16,2,outer_recursive,recursion,3010695,1262,0.2426,0.1862,40.8546,0.0137,14656,4204.08
2,256,8,32,16,1,inner_segment,sub_0,47977,5628,0.3586,0.2172,0.7903,,,91.92
2,256,8,32,16,1,inner_segment,sub_1,47977,5628,0.3586,0.2126,0.7633,,,92.14
2,256,8,32,16,1,inner_segment,sub_2,47977,5628,0.3586,0.2166,0.8205,,,92.2
2,256,8,32,16,1,inner_segment,sub_3,47977,5628,0.3586,0.2311,0.7647,,,91.8
2,256,8,32,16,1,inner_segment,sub_4,47977,5628,0.3586,0.2204,0.7608,,,91.79
2,256,8,32,16,1,inner_segment,sub_5,47977,5628,0.3586,0.2164,0.7827,,,91.94
2,256,8,32,16,1,inner_segment,sub_6,47977,5628,0.3586,0.2201,0.7873,,,91.91
2,256,8,32,16,1,inner_segment,sub_7,47977,5628,0.3586,0.2249,0.7874,,,92.12
2,256,8,32,16,1,outer_recursive,recursion,6083168,2010,0.2498,0.2074,80.1901,0.0121,14656,8097.29
2,256,8,32,16,2,inner_segment,sub_0,47977,5628,0.3586,0.2268,1.0452,,,92.04
2,256,8,32,16,2,inner_segment,sub_1,47977,5628,0.3586,0.2829,1.0416,,,92.08
2,256,8,32,16,2,inner_segment,sub_2,47977,5628,0.3586,0.2857,1.078,,,91.97
2,256,8,32,16,2,inner_segment,sub_3,47977,5628,0.3586,0.2796,1.0723,,,91.95
2,256,8,32,16,2,inner_segment,sub_4,47977,5628,0.3586,0.2827,1.0885,,,91.85
2,256,8,32,16,2,inner_segment,sub_5,47977,5628,0.3586,0.2885,1.0513,,,92.03
2,256,8,32,16,2,inner_segment,sub_6,47977,5628,0.3586,0.2772,1.0436,,,91.68
2,256,8,32,16,2,inner_segment,sub_7,47977,5628,0.3586,0.2957,1.0821,,,92.04
2,256,8,32,16,2,outer_recursive,recursion,6083168,2010,0.2506,0.2068,78.4573,0.0122,14656,8094.95
2,512,8,64,18,1,inner_segment,sub_0,105213,12806,0.5484,0.242,1.3179,,,169.91
2,512,8,64,18,1,inner_segment,sub_1,105213,12806,0.5484,0.2513,1.3293,,,169.72
2,512,8,64,18,1,inner_segment,sub_2,105213,12806,0.5484,0.2508,1.3384,,,170.15
2,512,8,64,18,1,inner_segment,sub_3,105213,12806,0.5484,0.2478,1.3414,,,169.98
2,512,8,64,18,1,inner_segment,sub_4,105213,12806,0.5484,0.2558,1.4072,,,169.73
2,512,8,64,18,1,inner_segment,sub_5,105213,12806,0.5484,0.2607,1.413,,,170.07
2,512,8,64,18,1,inner_segment,sub_6,105213,12806,0.5484,0.2527,1.3804,,,169.79
2,512,8,64,18,1,inner_segment,sub_7,105213,12806,0.5484,0.2579,1.3938,,,169.9
2,512,8,64,18,1,outer_recursive,recursion,6085052,2698,0.2519,0.1992,78.0014,0.0122,14656,8114.97
2,512,8,64,18,2,inner_segment,sub_0,105213,12806,0.5484,0.2581,1.9095,,,170.15
2,512,8,64,18,2,inner_segment,sub_1,105213,12806,0.5484,0.3268,1.9209,,,170.12
2,512,8,64,18,2,inner_segment,sub_2,105213,12806,0.5484,0.3274,1.9209,,,169.95
2,512,8,64,18,2,inner_segment,sub_3,105213,12806,0.5484,0.3256,1.9135,,,169.74
2,512,8,64,18,2,inner_segment,sub_4,105213,12806,0.5484,0.3241,1.9107,,,169.89
2,512,8,64,18,2,inner_segment,sub_5,105213,12806,0.5484,0.326,1.9099,,,170.05
2,512,8,64,18,2,inner_segment,sub_6,105213,12806,0.5484,0.3265,1.9141,,,169.88
2,512,8,64,18,2,inner_segment,sub_7,105213,12806,0.5484,0.326,1.9124,,,169.98
2,512,8,64,18,2,outer_recursive,recursion,6085052,2698,0.2379,0.2085,78.1509,0.012,14656,8148.72
2,512,4,128,18,1,inner_segment,sub_0,209053,25798,1.0466,0.327,2.524,,,308.76
2,512,4,128,18,1,inner_segment,sub_1,209053,25798,1.0466,0.3397,2.5569,,,308.68
2,512,4,128,18,1,inner_segment,sub_2,209053,25798,1.0466,0.3434,3.6216,,,308.54
2,512,4,128,18,1,inner_segment,sub_3,209053,25798,1.0466,0.4298,3.6497,,,308.64
2,512,4,128,18,1,outer_recursive,recursion,3011893,1862,0.2938,0.1935,41.0731,0.0139,14656,4129.89
2,512,4,128,18,2,inner_segment,sub_0,209053,25798,1.0466,0.3455,3.5748,,,308.78
2,512,4,128,18,2,inner_segment,sub_1,209053,25798,1.0466,0.4218,3.5631,,,308.61
2,512,4,128,18,2,inner_segment,sub_2,209053,25798,1.0466,0.421,3.5751,,,308.41
2,512,4,128,18,2,inner_segment,sub_3,209053,25798,1.0466,0.4199,3.6075,,,308.46
2,512,4,128,18,2,outer_recursive,recursion,3011893,1862,0.236,0.1942,40.8857,0.0142,14656,4149.07
2,512,2,256,18,1,inner_segment,sub_0,416733,51782,2.1241,0.4971,4.8212,,,597.99
2,512,2,256,18,1,inner_segment,sub_1,416733,51782,2.1241,0.5968,6.9227,,,597.87
2,512,2,256,18,1,outer_recursive,recursion,1475314,1444,0.2712,0.1873,20.9178,0.0152,14656,2036.81
2,512,2,256,18,2,inner_segment,sub_0,416733,51782,2.1241,0.5202,6.7443,,,597.78
2,512,2,256,18,2,inner_segment,sub_1,416733,51782,2.1241,0.5964,6.7135,,,598.11
2,512,2,256,18,2,outer_recursive,recursion,1475314,1444,0.2371,0.1869,21.0153,0.0153,14656,2058.11
2,768,2,384,20,1,inner_segment,sub_0,690098,86192,3.6959,0.7511,11.6154,,,1053.85
2,768,2,384,20,1,inner_segment,sub_1,690098,86192,3.6959,0.8446,11.5965,,,1054.02
2,768,2,384,20,1,outer_recursive,recursion,1476169,2000,0.2712,0.1906,20.9901,0.0153,14656,2100.41
2,768,2,384,20,2,inner_segment,sub_0,690098,86192,3.6959,0.7781,11.5676,,,1053.85
2,768,2,384,20,2,inner_segment,sub_1,690098,86192,3.6959,0.8467,11.5225,,,1053.93
2,768,2,384,20,2,outer_recursive,recursion,1476169,2000,0.2278,0.1911,21.0295,0.0153,14656,2149.91
2,768,4,192,20,1,inner_segment,sub_0,345650,42992,1.796,0.4169,4.3502,,,518.01
2,768,4,192,20,1,inner_segment,sub_1,345650,42992,1.796,0.432,5.8382,,,518.05
2,768,4,192,20,1,inner_segment,sub_2,345650,42992,1.796,0.5315,6.2244,,,518.0
2,768,4,192,20,1,inner_segment,sub_3,345650,42992,1.796,0.5196,6.1658,,,517.93
2,768,4,192,20,1,outer_recursive,recursion,3013091,2462,0.292,0.1985,40.8455,0.0136,14656,4178.69
2,768,4,192,20,2,inner_segment,sub_0,345650,42992,1.796,0.4435,6.1449,,,517.93
2,768,4,192,20,2,inner_segment,sub_1,345650,42992,1.796,0.5179,6.1444,,,517.92
2,768,4,192,20,2,inner_segment,sub_2,345650,42992,1.796,0.5088,6.1095,,,517.73
2,768,4,192,20,2,inner_segment,sub_3,345650,42992,1.796,0.5201,6.1122,,,517.91
2,768,4,192,20,2,outer_recursive,recursion,3013091,2462,0.2362,0.1974,40.8326,0.014,14656,4144.47
2,768,8,96,20,1,inner_segment,sub_0,173426,21392,0.9063,0.2908,2.4281,,,281.45
2,768,8,96,20,1,inner_segment,sub_1,173426,21392,0.9063,0.3206,2.4345,,,281.44
2,768,8,96,20,1,inner_segment,sub_2,173426,21392,0.9063,0.328,2.4724,,,280.89
2,768,8,96,20,1,inner_segment,sub_3,173426,21392,0.9063,0.3068,2.4357,,,281.45
2,768,8,96,20,1,inner_segment,sub_4,173426,21392,0.9063,0.3101,2.4424,,,281.24
2,768,8,96,20,1,inner_segment,sub_5,173426,21392,0.9063,0.3109,2.4516,,,281.34
2,768,8,96,20,1,inner_segment,sub_6,173426,21392,0.9063,0.3131,2.4683,,,281.53
2,768,8,96,20,1,inner_segment,sub_7,173426,21392,0.9063,0.3137,2.4872,,,281.63
2,768,8,96,20,1,outer_recursive,recursion,6086936,3386,0.2739,0.2043,77.8429,0.0121,14656,8185.23
2,768,8,96,20,2,inner_segment,sub_0,173426,21392,0.9063,0.2924,2.6537,,,281.44
2,768,8,96,20,2,inner_segment,sub_1,173426,21392,0.9063,0.3658,3.0867,,,281.7
2,768,8,96,20,2,inner_segment,sub_2,173426,21392,0.9063,0.3617,3.2973,,,281.66
2,768,8,96,20,2,inner_segment,sub_3,173426,21392,0.9063,0.3839,3.3034,,,281.54
2,768,8,96,20,2,inner_segment,sub_4,173426,21392,0.9063,0.3805,3.2906,,,281.95
2,768,8,96,20,2,inner_segment,sub_5,173426,21392,0.9063,0.3815,3.2798,,,281.46
2,768,8,96,20,2,inner_segment,sub_6,173426,21392,0.9063,0.3776,3.2708,,,281.53
2,768,8,96,20,2,inner_segment,sub_7,173426,21392,0.9063,0.3758,3.2679,,,281.55
2,768,8,96,20,2,outer_recursive,recursion,6086936,3386,0.2407,0.2151,77.3919,0.012,14656,8145.87
2,1000,8,125,20,1,inner_segment,sub_0,225451,27917,1.1117,0.3492,2.8933,,,338.0
2,1000,8,125,20,1,inner_segment,sub_1,225451,27917,1.1117,0.3614,2.7451,,,337.86
2,1000,8,125,20,1,inner_segment,sub_2,225451,27917,1.1117,0.354,2.7484,,,338.06
2,1000,8,125,20,1,inner_segment,sub_3,225451,27917,1.1117,0.3541,2.7463,,,338.26
2,1000,8,125,20,1,inner_segment,sub_4,225451,27917,1.1117,0.3534,2.8175,,,338.22
2,1000,8,125,20,1,inner_segment,sub_5,225451,27917,1.1117,0.3538,2.8076,,,338.26
2,1000,8,125,20,1,inner_segment,sub_6,225451,27917,1.1117,0.3591,2.8052,,,338.15
2,1000,8,125,20,1,inner_segment,sub_7,225451,27917,1.1117,0.3606,2.8197,,,338.25
2,1000,8,125,20,1,outer_recursive,recursion,6087400,3850,0.2866,0.2067,76.6517,0.0125,14656,8138.33
2,1000,8,125,20,2,inner_segment,sub_0,225451,27917,1.1117,0.3351,2.991,,,338.11
2,1000,8,125,20,2,inner_segment,sub_1,225451,27917,1.1117,0.411,3.7395,,,338.08
2,1000,8,125,20,2,inner_segment,sub_2,225451,27917,1.1117,0.4261,3.7567,,,338.14
2,1000,8,125,20,2,inner_segment,sub_3,225451,27917,1.1117,0.4273,3.7274,,,338.51
2,1000,8,125,20,2,inner_segment,sub_4,225451,27917,1.1117,0.426,3.7298,,,338.15
2,1000,8,125,20,2,inner_segment,sub_5,225451,27917,1.1117,0.4226,3.7259,,,338.03
2,1000,8,125,20,2,inner_segment,sub_6,225451,27917,1.1117,0.4276,3.7069,,,337.92
2,1000,8,125,20,2,inner_segment,sub_7,225451,27917,1.1117,0.421,3.6952,,,338.02
2,1000,8,125,20,2,outer_recursive,recursion,6087400,3850,0.2396,0.2152,78.8707,0.0122,14656,8277.09
