variant,n,k,m,run,circuit,circuit_size,acir_opcodes,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb,verify_hier_s,xchecks_ok
hier_a,96,8,12,2,sub_3,16332,1871,0.2897,0.6238,3.3277,0.0148,14656,42.36,0.1319,1
hier_a,96,8,12,2,sub_4,16332,1871,0.2897,0.7828,3.0906,0.0118,14656,42.14,0.1319,1
hier_a,96,8,12,2,sub_5,16332,1871,0.2897,0.6717,3.2739,0.0129,14656,38.16,0.1319,1
hier_a,96,8,12,2,sub_6,16332,1871,0.2897,0.6155,3.4224,0.012,14656,41.96,0.1319,1
hier_a,96,8,12,2,sub_7,16332,1871,0.2897,0.6002,3.3245,0.0115,14656,38.68,0.1319,1
hier_a,96,8,12,2,glue,14310,2309,0.2951,1.2924,2.7753,0.0117,14656,41.34,0.1319,1
hier_a,96,8,12,3,sub_0,16332,1871,0.2897,0.5836,2.6726,0.0146,14656,42.41,0.1432,1
hier_a,96,8,12,3,sub_1,16332,1871,0.2897,0.7664,3.2767,0.0139,14656,42.26,0.1432,1
hier_a,96,8,12,3,sub_2,16332,1871,0.2897,0.593,3.444,0.0157,14656,40.16,0.1432,1
hier_a,96,8,12,3,sub_3,16332,1871,0.2897,0.6416,3.0235,0.0215,14656,42.26,0.1432,1
hier_a,96,8,12,3,sub_4,16332,1871,0.2897,0.6041,3.4482,0.0207,14656,42.3,0.1432,1
hier_a,96,8,12,3,sub_5,16332,1871,0.2897,0.5556,3.3867,0.0131,14656,40.92,0.1432,1
hier_a,96,8,12,3,sub_6,16332,1871,0.2897,0.7725,3.2708,0.0121,14656,41.26,0.1432,1
hier_a,96,8,12,3,sub_7,16332,1871,0.2897,0.5965,3.435,0.0123,14656,42.12,0.1432,1
hier_a,96,8,12,3,glue,14310,2309,0.2951,0.6479,3.333,0.0119,14656,41.43,0.1432,1
hier_a,192,2,96,1,sub_0,135503,18073,0.897,0.461,6.0766,0.0169,14656,232.01,0.0714,1
hier_a,192,2,96,1,sub_1,135503,18073,0.897,0.4801,6.1799,0.0131,14656,232.26,0.0714,1
hier_a,192,2,96,1,glue,9151,2473,0.3172,0.3597,0.5186,0.0134,14656,43.64,0.0714,1
hier_a,192,2,96,2,sub_0,135503,18073,0.897,0.4686,6.1919,0.0155,14656,232.52,0.0827,1
hier_a,192,2,96,2,sub_1,135503,18073,0.897,0.4585,6.0081,0.0228,14656,232.34,0.0827,1
hier_a,192,2,96,2,glue,9151,2473,0.3172,0.3634,0.5499,0.0231,14656,43.52,0.0827,1
hier_a,192,2,96,3,sub_0,135503,18073,0.897,0.4889,6.282,0.0174,14656,232.16,0.0748,1
hier_a,192,2,96,3,sub_1,135503,18073,0.897,0.4873,6.2527,0.0145,14656,232.24,0.0748,1
hier_a,192,2,96,3,glue,9151,2473,0.3172,0.341,0.5269,0.0163,14656,43.88,0.0748,1
hier_a,192,4,48,1,sub_0,68483,8953,0.5478,0.4151,6.8647,0.0139,14656,131.99,0.1006,1
hier_a,192,4,48,1,sub_1,68483,8953,0.5478,0.3876,6.8818,0.0134,14656,130.95,0.1006,1
hier_a,192,4,48,1,sub_2,68483,8953,0.5478,0.3995,6.882,0.0139,14656,131.31,0.1006,1
hier_a,192,4,48,1,sub_3,68483,8953,0.5478,0.5762,6.7682,0.0129,14656,131.88,0.1006,1
hier_a,192,4,48,1,glue,11920,2829,0.3538,0.6131,2.9844,0.0136,14656,43.14,0.1006,1
hier_a,192,4,48,2,sub_0,68483,8953,0.5478,0.3734,6.6754,0.0138,14656,131.48,0.0981,1
hier_a,192,4,48,2,sub_1,68483,8953,0.5478,0.4207,6.6727,0.0131,14656,131.55,0.0981,1
hier_a,192,4,48,2,sub_2,68483,8953,0.5478,0.4789,6.6317,0.0131,14656,131.05,0.0981,1
hier_a,192,4,48,2,sub_3,68483,8953,0.5478,0.5858,6.716,0.0132,14656,131.04,0.0981,1
hier_a,192,4,48,2,glue,11920,2829,0.3538,0.5733,2.6506,0.0137,14656,43.84,0.0981,1
hier_a,192,4,48,3,sub_0,68483,8953,0.5478,0.5893,6.6264,0.0141,14656,130.93,0.0985,1
hier_a,192,4,48,3,sub_1,68483,8953,0.5478,0.5559,6.7606,0.016,14656,131.25,0.0985,1
hier_a,192,4,48,3,sub_2,68483,8953,0.5478,0.4288,6.6447,0.0223,14656,131.18,0.0985,1
hier_a,192,4,48,3,sub_3,68483,8953,0.5478,0.4499,6.6866,0.0174,14656,131.47,0.0985,1
hier_a,192,4,48,3,glue,11920,2829,0.3538,0.4172,2.6036,0.0126,14656,43.06,0.0985,1
hier_a,192,8,24,1,sub_0,34973,4393,0.3719,0.7405,7.5696,0.0154,14656,78.79,0.1406,1
hier_a,192,8,24,1,sub_1,34973,4393,0.3719,0.5761,7.4645,0.0153,14656,78.07,0.1406,1
hier_a,192,8,24,1,sub_2,34973,4393,0.3719,0.6052,7.8227,0.0139,14656,78.98,0.1406,1
hier_a,192,8,24,1,sub_3,34973,4393,0.3719,0.6454,7.5996,0.0154,14656,78.87,0.1406,1
hier_a,192,8,24,1,sub_4,34973,4393,0.3719,0.8293,7.6322,0.0203,14656,78.8,0.1406,1
hier_a,192,8,24,1,sub_5,34973,4393,0.3719,0.6019,7.8125,0.0134,14656,78.12,0.1406,1
hier_a,192,8,24,1,sub_6,34973,4393,0.3719,0.6303,7.7617,0.0125,14656,78.93,0.1406,1
hier_a,192,8,24,1,sub_7,34973,4393,0.3719,0.6188,7.8086,0.0125,14656,78.96,0.1406,1
hier_a,192,8,24,1,glue,17458,3541,0.3736,1.569,5.7787,0.0133,14656,53.09,0.1406,1
hier_a,192,8,24,2,sub_0,34973,4393,0.3719,0.5743,7.2401,0.0146,14656,78.95,0.1326,1
hier_a,192,8,24,2,sub_1,34973,4393,0.3719,0.6895,7.0204,0.0184,14656,78.93,0.1326,1
hier_a,192,8,24,2,sub_2,34973,4393,0.3719,0.5876,7.2076,0.0186,14656,78.89,0.1326,1
hier_a,192,8,24,2,sub_3,34973,4393,0.3719,0.6607,7.4757,0.0207,14656,77.93,0.1326,1
hier_a,192,8,24,2,sub_4,34973,4393,0.3719,0.6268,7.7793,0.0161,14656,78.71,0.1326,1
hier_a,192,8,24,2,sub_5,34973,4393,0.3719,0.7925,7.6162,0.0126,14656,78.92,0.1326,1
hier_a,192,8,24,2,sub_6,34973,4393,0.3719,0.8217,7.615,0.0116,14656,78.89,0.1326,1
hier_a,192,8,24,2,sub_7,34973,4393,0.3719,0.6242,7.4139,0.0119,14656,77.78,0.1326,1
hier_a,192,8,24,2,glue,17458,3541,0.3736,0.8692,5.8115,0.0125,14656,54.46,0.1326,1
hier_a,192,8,24,3,sub_0,34973,4393,0.3719,0.8816,7.6075,0.0169,14656,78.76,0.1289,1
hier_a,192,8,24,3,sub_1,34973,4393,0.3719,0.5872,7.6479,0.0222,14656,78.81,0.1289,1
hier_a,192,8,24,3,sub_2,34973,4393,0.3719,0.6746,7.5545,0.0221,14656,77.95,0.1289,1
hier_a,192,8,24,3,sub_3,34973,4393,0.3719,0.7053,7.5807,0.0195,14656,79.0,0.1289,1
hier_a,192,8,24,3,sub_4,34973,4393,0.3719,0.7446,7.4615,0.0121,14656,78.93,0.1289,1
hier_a,192,8,24,3,sub_5,34973,4393,0.3719,0.6291,7.595,0.0119,14656,78.77,0.1289,1
hier_a,192,8,24,3,sub_6,34973,4393,0.3719,0.6874,7.1871,0.0114,14656,78.09,0.1289,1
hier_a,192,8,24,3,sub_7,34973,4393,0.3719,0.8345,7.5476,0.0109,14656,78.72,0.1289,1
hier_a,192,8,24,3,glue,17458,3541,0.3736,0.8791,4.5377,0.0118,14656,54.57,0.1289,1
hier_a,480,2,240,1,sub_0,377552,50691,2.2967,0.8335,12.8056,0.0175,14656,551.34,0.0744,1
hier_a,480,2,240,1,sub_1,377552,50691,2.2967,0.8313,12.8769,0.0239,14656,551.38,0.0744,1
