exp,n,k,m,depth,run,role,circuit,gates,acir,compile_s,witness_s,prove_s,verify_s,proof_bytes,peak_mb
2,768,8,96,20,2,outer_recursive,rec_exp2_k_segments_a,6122058,11037,0.6453,1.2146,78.0122,0.012,14656,8201.83
2,1000,8,125,20,1,inner_segment,sub_0,218526,29039,1.2161,0.367,2.5447,,,315.53
2,1000,8,125,20,1,inner_segment,sub_1,218526,29039,1.2161,0.3654,2.5394,,,315.39
2,1000,8,125,20,1,inner_segment,sub_2,218526,29039,1.2161,0.3761,2.6111,,,315.77
2,1000,8,125,20,1,inner_segment,sub_3,218526,29039,1.2161,0.3856,2.6406,,,315.39
2,1000,8,125,20,1,inner_segment,sub_4,218526,29039,1.2161,0.3893,2.72,,,315.82
2,1000,8,125,20,1,inner_segment,sub_5,218526,29039,1.2161,0.3837,2.7322,,,315.58
2,1000,8,125,20,1,inner_segment,sub_6,218526,29039,1.2161,0.4102,2.7306,,,315.57
2,1000,8,125,20,1,inner_segment,sub_7,218526,29039,1.2161,0.3883,2.7808,,,315.48
2,1000,8,125,20,1,outer_recursive,rec_exp2_k_segments_a,6133814,13821,2.493,1.8747,75.8569,0.0122,14656,8422.87
2,1000,8,125,20,2,inner_segment,sub_0,218526,29039,1.2161,0.4111,3.6596,,,315.54
2,1000,8,125,20,2,inner_segment,sub_1,218526,29039,1.2161,0.454,3.6583,,,315.77
2,1000,8,125,20,2,inner_segment,sub_2,218526,29039,1.2161,0.4533,3.4896,,,315.41
2,1000,8,125,20,2,inner_segment,sub_3,218526,29039,1.2161,0.4459,3.5704,,,315.45
2,1000,8,125,20,2,inner_segment,sub_4,218526,29039,1.2161,0.4518,3.4751,,,315.36
2,1000,8,125,20,2,inner_segment,sub_5,218526,29039,1.2161,0.4373,3.5721,,,315.54
2,1000,8,125,20,2,inner_segment,sub_6,218526,29039,1.2161,0.4513,3.6663,,,315.23
2,1000,8,125,20,2,inner_segment,sub_7,218526,29039,1.2161,0.4575,3.6553,,,315.26
2,1000,8,125,20,2,outer_recursive,rec_exp2_k_segments_a,6133814,13821,0.8795,1.8021,77.9974,0.0121,14656,8292.59
2,1000,4,250,20,1,inner_segment,sub_0,435933,58289,2.5365,0.6074,4.7444,,,616.44
2,1000,4,250,20,1,inner_segment,sub_1,435933,58289,2.5365,0.6132,4.9045,,,616.2
2,1000,4,250,20,1,inner_segment,sub_2,435933,58289,2.5365,0.6315,5.0262,,,616.56
2,1000,4,250,20,1,inner_segment,sub_3,435933,58289,2.5365,0.6554,5.0923,,,616.56
2,1000,4,250,20,1,outer_recursive,rec_exp2_k_segments_a,3060417,12913,2.7065,1.9942,41.7199,0.0126,14656,4368.72
2,1000,4,250,20,2,inner_segment,sub_0,435933,58289,2.5365,0.6459,6.3402,,,616.5
2,1000,4,250,20,2,inner_segment,sub_1,435933,58289,2.5365,0.7058,6.5041,,,616.65
2,1000,4,250,20,2,inner_segment,sub_2,435933,58289,2.5365,0.6882,6.8843,,,616.61
2,1000,4,250,20,2,inner_segment,sub_3,435933,58289,2.5365,0.7066,6.3411,,,616.5
2,1000,4,250,20,2,outer_recursive,rec_exp2_k_segments_a,3060417,12913,0.849,1.9295,40.5424,0.0135,14656,4319.54
2,1000,2,500,20,1,inner_segment,sub_0,870745,116789,5.5117,1.3626,9.2571,,,1240.88
2,1000,2,500,20,1,inner_segment,sub_1,870745,116789,5.5117,1.4281,9.6452,,,1240.5
2,1000,2,500,20,1,outer_recursive,rec_exp2_k_segments_a,1524010,12459,2.6833,2.1436,20.6815,0.0157,14656,2249.96
2,1000,2,500,20,2,inner_segment,sub_0,870745,116789,5.5117,1.4598,13.0772,,,1241.02
2,1000,2,500,20,2,inner_segment,sub_1,870745,116789,5.5117,1.4987,12.4052,,,1240.5
2,1000,2,500,20,2,outer_recursive,rec_exp2_k_segments_a,1524010,12459,0.8677,2.0517,21.4227,0.0153,14656,2185.06
